gene	transcript	protein_change	score	pvalue	qvalue	info
KCNJ1	ENST00000392664	.	.	3.06574651774e-05	0.00223799495795	.
NRAS	ENST00000369535	.	.	7.82989811589e-05	0.0028579128123	.
KRAS	ENST00000256078	.	.	0.00013206840852	0.00321366460732	.
APC	ENST00000457016	.	.	0.000512137693254	0.00337123458715	.
GABBR1	ENST00000377034	.	.	0.00143162016715	0.00337123458715	.
KIAA0586	ENST00000354386	.	.	0.00143162016715	0.00337123458715	.
CXorf22	ENST00000297866	.	.	0.00143162016715	0.00337123458715	.
DPYD	ENST00000370192	.	.	0.00143162016715	0.00337123458715	.
LRRIQ3	ENST00000354431	.	.	0.00143162016715	0.00337123458715	.
TET1	ENST00000373644	.	.	0.00143162016715	0.00337123458715	.
POLA1	ENST00000379059	.	.	0.00143162016715	0.00337123458715	.
MEGF6	ENST00000356575	.	.	0.00143162016715	0.00337123458715	.
ANK3	ENST00000503366	.	.	0.00143162016715	0.00337123458715	.
PAPOLG	ENST00000238714	.	.	0.00143162016715	0.00337123458715	.
ARHGEF40	ENST00000298694	.	.	0.00143162016715	0.00337123458715	.
WDR66	ENST00000288912	.	.	0.00143162016715	0.00337123458715	.
SLC22A14	ENST00000273173	.	.	0.00143162016715	0.00337123458715	.
PCDHA12	ENST00000398631	.	.	0.00143162016715	0.00337123458715	.
DNER	ENST00000341772	.	.	0.00143162016715	0.00337123458715	.
VAT1L	ENST00000302536	.	.	0.00143162016715	0.00337123458715	.
FAM214A	ENST00000261844	.	.	0.00143162016715	0.00337123458715	.
SEL1L3	ENST00000399878	.	.	0.00143162016715	0.00337123458715	.
NT5C1A	ENST00000235628	.	.	0.00143162016715	0.00337123458715	.
CPT1A	ENST00000265641	.	.	0.00143162016715	0.00337123458715	.
OR1A2	ENST00000381951	.	.	0.00143162016715	0.00337123458715	.
GLIS3	ENST00000381971	.	.	0.00143162016715	0.00337123458715	.
DCHS1	ENST00000299441	.	.	0.00143162016715	0.00337123458715	.
DENND5A	ENST00000328194	.	.	0.00143162016715	0.00337123458715	.
CEP152	ENST00000380950	.	.	0.00143162016715	0.00337123458715	.
CNTNAP4	ENST00000478060	.	.	0.00143162016715	0.00337123458715	.
ARMC4	ENST00000305242	.	.	0.00143162016715	0.00337123458715	.
PCBP1	ENST00000303577	.	.	0.0067701933205	0.0154445035124	.
TP53	ENST00000269305	.	.	0.0141295221748	0.03125621572	.
ZEB2	ENST00000558170	.	.	0.0445654627585	0.062563053488	.
GUCY1A3	ENST00000296518	.	.	0.0445654627585	0.062563053488	.
FLNA	ENST00000369850	.	.	0.0445654627585	0.062563053488	.
AKAP12	ENST00000402676	.	.	0.0445654627585	0.062563053488	.
PCDHB16	ENST00000361016	.	.	0.0445654627585	0.062563053488	.
NOS1	ENST00000338101	.	.	0.0445654627585	0.062563053488	.
SPTB	ENST00000389722	.	.	0.0445654627585	0.062563053488	.
ROS1	ENST00000368508	.	.	0.0445654627585	0.062563053488	.
MEGF8	ENST00000334370	.	.	0.0445654627585	0.062563053488	.
PAPOLB	ENST00000404991	.	.	0.0445654627585	0.062563053488	.
RNF180	ENST00000389100	.	.	0.0445654627585	0.062563053488	.
FAM184A	ENST00000338891	.	.	0.0445654627585	0.062563053488	.
KDR	ENST00000263923	.	.	0.0445654627585	0.062563053488	.
ABCC1	ENST00000399410	.	.	0.0445654627585	0.062563053488	.
ASB12	ENST00000362002	.	.	0.0445654627585	0.062563053488	.
HDAC9	ENST00000441542	.	.	0.0445654627585	0.062563053488	.
TENM3	ENST00000511685	.	.	0.0445654627585	0.062563053488	.
NCOR2	ENST00000405201	.	.	0.0445654627585	0.062563053488	.
TRPS1	ENST00000395715	.	.	0.0445654627585	0.062563053488	.
APOB	ENST00000233242	.	.	0.175986474596	0.203920835643	.
GRM7	ENST00000357716	.	.	0.175986474596	0.203920835643	.
KCNQ3	ENST00000388996	.	.	0.175986474596	0.203920835643	.
WDR33	ENST00000322313	.	.	0.175986474596	0.203920835643	.
RET	ENST00000355710	.	.	0.175986474596	0.203920835643	.
F8	ENST00000360256	.	.	0.175986474596	0.203920835643	.
FBXW7	ENST00000281708	.	.	0.175986474596	0.203920835643	.
PNLDC1	ENST00000610273	.	.	0.175986474596	0.203920835643	.
FGF13	ENST00000370603	.	.	0.175986474596	0.203920835643	.
AMER1	ENST00000330258	.	.	0.175986474596	0.203920835643	.
MYO7A	ENST00000409709	.	.	0.175986474596	0.203920835643	.
WDFY4	ENST00000325239	.	.	0.337992305936	0.368260273632	.
CSMD1	ENST00000537824	.	.	0.337992305936	0.368260273632	.
CARD11	ENST00000396946	.	.	0.337992305936	0.368260273632	.
MAGEC1	ENST00000285879	.	.	0.337992305936	0.368260273632	.
SMARCA1	ENST00000371122	.	.	0.479404445841	0.507196007918	.
HECW1	ENST00000395891	.	.	0.479404445841	0.507196007918	.
PIK3CA	ENST00000263967	.	.	0.553520533496	0.577242842074	.
ATM	ENST00000278616	.	.	0.588262180729	0.604832946383	.
MUC16	ENST00000397910	.	.	0.868752353809	0.880818358723	.
TTN	ENST00000589042	.	.	0.967002787832	0.967002787832	.
